Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
L,0.312243,0.58034,0,0, ,0.287757,0.0196602,5.19994,0,0.6,0.6,5.19994,0
R,0.779913,0.722413,6.65259,1.97674,1.077186,0.211208,0.0876373,3.81773,1.3965,0.859997,0.600045,5.19975,0.00179686
L,1.19545,0.535063,10.3167,-0.0105174, ,0.177869,0.0808428,4.29483,1.14027,1.11998,0.600225,5.19943,0.00538996
R,1.03211,0.563929,4.61321,2.6006,0.302758,0.232328,0.0723767,3.73094,1.62848,1.37996,0.600629,5.19898,0.0107781
L,1.35877,0.703667,4.975,2.20633, ,0.242874,0.0792752,3.33855,1.75481,1.6399,0.601347,5.19839,0.0179597
R,1.71966,0.648446,5.39616,1.08095,0.468721,0.233595,0.0747625,3.04874,1.6587,1.89982,0.60247,5.19766,0.0269323
L,2.03462,0.698956,5.51682,0.946256, ,0.221374,0.0779532,2.82518,1.57359,2.1597,0.604086,5.19678,0.0376932
R,2.27665,0.698632,5.29901,0.729449,0.312417,0.21315,0.0798946,2.64297,1.49142,2.41954,0.606284,5.19573,0.0502389
L,2.56596,0.724785,5.35238,0.647881, ,0.204481,0.0846139,2.49237,1.4195,2.67932,0.609155,5.1945,0.0645654
R,2.8481,0.709108,5.33672,0.419564,0.261116,0.196108,0.0858565,2.3649,1.35091,2.93904,0.612786,5.19309,0.080668
L,3.09645,0.716524,5.30674,0.385493, ,0.189506,0.08716,2.25511,1.29095,3.19869,0.617267,5.19147,0.0985415
R,3.39229,0.644275,5.33376,0.00783764,0.215473,0.182434,0.0836817,2.15951,1.2364,3.45825,0.622685,5.18963,0.11818
L,3.70716,0.578325,5.43076,-0.26584, ,0.175302,0.0816243,2.07589,1.1932,3.71772,0.62913,5.18754,0.139576
R,3.98896,0.594126,5.47848,-0.161551,0.141071,0.168955,0.0794735,2.00191,1.15306,3.97708,0.636689,5.18519,0.162724
L,4.27109,0.583745,5.49282,-0.172863, ,0.163473,0.0784142,1.93569,1.11784,4.23632,0.645449,5.18256,0.187614
R,4.5282,0.601625,5.34028,-0.0921347,0.125846,0.158494,0.0771096,1.87465,1.08506,4.49542,0.655498,5.17962,0.214238
L,4.71591,0.675072,5.19702,0.191231, ,0.154044,0.0748334,1.81868,1.05273,4.75437,0.666921,5.17634,0.242587
R,4.96798,0.671294,5.04539,0.130769,0.136735,0.150082,0.0727526,1.7677,1.02362,5.01315,0.679804,5.1727,0.272649
L,5.27045,0.666184,5.13521,0.0820324, ,0.146079,0.071104,1.72057,0.997622,5.27175,0.694234,5.16867,0.304413
