Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
L,0.312243,0.58034,0,0, ,0.287757,0.0196602,5.19994,0,0.6,0.6,5.19994,0
R,0.779913,0.722413,6.65259,1.97674,1.077186,0.211208,0.0876373,3.81773,1.3965,0.859997,0.600045,5.19975,0.00179686
L,0.779913,0.722413,6.65259,1.97674, ,0.261321,0.100483,3.22809,1.61107,1.11998,0.600225,5.19943,0.00538996
R,0.815911,0.252273,4.02203,2.40088,0.566942,0.361598,0.194706,2.85688,1.83706,1.37996,0.600629,5.19898,0.0107781
L,0.815911,0.252273,4.02203,2.40088, ,0.490301,0.233878,2.60886,1.95844,1.6399,0.601347,5.19839,0.0179597
R,1.41984,0.46923,4.84549,1.72433,0.384121,0.488597,0.220321,2.38589,1.91741,1.89982,0.60247,5.19766,0.0269323
L,1.41984,0.46923,4.84549,1.72433, ,0.531812,0.210249,2.21289,1.88617,2.1597,0.604086,5.19678,0.0376932
R,1.96211,0.601069,4.93141,1.3359,0.324993,0.523093,0.196679,2.07208,1.82196,2.41954,0.606284,5.19573,0.0502389
L,1.96211,0.601069,4.93141,1.3359, ,0.548068,0.18545,1.95554,1.76926,2.67932,0.609155,5.1945,0.0645654
R,2.59534,0.663928,5.18745,0.769716,0.290741,0.531182,0.176675,1.85519,1.69255,2.93904,0.612786,5.19309,0.080668
L,2.59534,0.663928,5.18745,0.769716, ,0.538143,0.16904,1.76886,1.62643,3.19869,0.617267,5.19147,0.0985415
R,3.23205,0.612332,5.33373,0.0648654,0.233576,0.519355,0.161871,1.69406,1.55726,3.45825,0.622685,5.18963,0.11818
L,3.23205,0.612332,5.33373,0.0648654, ,0.516842,0.15559,1.62811,1.49631,3.71772,0.62913,5.18754,0.139576
R,3.82477,0.626633,5.45917,0.0672903,0.162886,0.499702,0.149955,1.57059,1.44211,3.97708,0.636689,5.18519,0.162724
L,3.82477,0.626633,5.45917,0.0672903, ,0.494315,0.144951,1.51901,1.39355,4.23632,0.645449,5.18256,0.187614
R,4.37972,0.642317,5.29363,0.0712842,0.143910,0.479491,0.140387,1.47106,1.34978,4.49542,0.655498,5.17962,0.214238
L,4.37972,0.642317,5.29363,0.0712842, ,0.473967,0.136326,1.42742,1.31013,4.75437,0.666921,5.17634,0.242587
R,4.91739,0.64177,5.05143,0.0101947,0.131531,0.461166,0.132788,1.38749,1.27472,5.01315,0.679804,5.1727,0.272649
L,4.91739,0.64177,5.05143,0.0101947, ,0.456168,0.129806,1.35076,1.24256,5.27175,0.694234,5.16867,0.304413
