Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
L,0.312243,0.58034,0,0, ,0.287757,0.0196602,5.19994,0
R,0.312243,0.58034,0,0,0.580340,0.437515,0.0196827,5.19984,0.00127057
L,1.17192,0.481295,8.57807,-0.988293, ,0.358486,0.0705195,4.67233,0.573704
R,1.17192,0.481295,8.57807,-0.988293,0.580340,0.32742,0.0853808,4.38492,0.704548
L,1.71404,0.584173,6.67891,0.225171, ,0.294724,0.0767521,3.97749,0.636944
R,1.71404,0.584173,6.67891,0.225171,0.382466,0.279531,0.0704619,3.68095,0.587053
L,2.24623,0.636238,6.08188,0.355175, ,0.260854,0.0663573,3.42428,0.556594
R,2.24623,0.636238,6.08188,0.355175,0.606690,0.251582,0.0629685,3.2184,0.531692
L,2.7328,0.668229,5.64251,0.342433, ,0.237863,0.0625478,3.03801,0.509769
R,2.7328,0.668229,5.64251,0.342433,0.671756,0.234893,0.061874,2.88561,0.490642
L,3.14085,0.666592,5.13693,0.226298, ,0.224639,0.0608403,2.75137,0.469392
R,3.14085,0.666592,5.13693,0.226298,0.702472,0.23378,0.0596131,2.63428,0.450491
L,3.77622,0.497163,5.51294,-0.367233, ,0.225193,0.0679707,2.53255,0.455071
R,3.77622,0.497163,5.51294,-0.367233,0.689222,0.223543,0.0753695,2.44199,0.460824
L,4.31868,0.517853,5.4859,-0.191424, ,0.217008,0.0799203,2.36049,0.455828
R,4.31868,0.517853,5.4859,-0.191424,0.460439,0.214713,0.0846886,2.28682,0.452856
L,4.62251,0.68873,4.73214,0.393744, ,0.210743,0.0823302,2.22115,0.440862
R,4.62251,0.68873,4.73214,0.393744,0.498711,0.224551,0.0800382,2.16107,0.42939
L,5.29446,0.690597,5.34883,0.277359, ,0.218624,0.0779079,2.10384,0.417984
R,5.29446,0.690597,5.34883,0.277359,0.728105,0.219508,0.0760629,2.05098,0.407625
L,5.9195,0.713787,5.62997,0.263184, ,0.216123,0.0742952,2.00419,0.398522
R,5.9195,0.713787,5.62997,0.263184,0.718333,0.212874,0.0729451,1.96073,0.390612
L,6.41703,0.837711,5.42538,0.568178, ,0.20953,0.0727619,1.91851,0.382844
R,6.41703,0.837711,5.42538,0.568178,0.740106,0.207216,0.0718246,1.87901,0.375138
L,6.8766,0.81013,5.16604,0.304345, ,0.203366,0.070391,1.84105,0.370318
R,6.8766,0.81013,5.16604,0.304345,0.894529,0.203166,0.0693733,1.80532,0.366937
L,7.27357,0.89511,4.79215,0.474814, ,0.199673,0.0681824,1.77268,0.361133
R,7.27357,0.89511,4.79215,0.474814,0.840564,0.204809,0.0669944,1.74177,0.356433
