Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
L,0.312243,0.58034,0,0, ,0.287757,0.0196602,5.19994,0
R,0.779913,0.722413,6.65259,1.97674,1.077186,0.211208,0.0876373,3.81773,1.3965
L,0.779913,0.722413,6.65259,1.97674, ,0.261321,0.100483,3.22809,1.61107
R,0.815911,0.252273,4.02203,2.40088,0.566942,0.361598,0.194706,2.85688,1.83706
L,0.815911,0.252273,4.02203,2.40088, ,0.490301,0.233878,2.60886,1.95844
R,1.41984,0.46923,4.84549,1.72433,0.384121,0.488597,0.220321,2.38589,1.91741
L,1.41984,0.46923,4.84549,1.72433, ,0.531812,0.210249,2.21289,1.88617
R,1.96211,0.601069,4.93141,1.3359,0.324993,0.523093,0.196679,2.07208,1.82196
L,1.96211,0.601069,4.93141,1.3359, ,0.548068,0.18545,1.95554,1.76926
R,2.59534,0.663928,5.18745,0.769716,0.290741,0.531182,0.176675,1.85519,1.69255
L,2.59534,0.663928,5.18745,0.769716, ,0.538143,0.16904,1.76886,1.62643
R,3.23205,0.612332,5.33373,0.0648654,0.233576,0.519355,0.161871,1.69406,1.55726
L,3.23205,0.612332,5.33373,0.0648654, ,0.516842,0.15559,1.62811,1.49631
R,3.82477,0.626633,5.45917,0.0672903,0.162886,0.499702,0.149955,1.57059,1.44211
L,3.82477,0.626633,5.45917,0.0672903, ,0.494315,0.144951,1.51901,1.39355
R,4.37972,0.642317,5.29363,0.0712842,0.143910,0.479491,0.140387,1.47106,1.34978
L,4.37972,0.642317,5.29363,0.0712842, ,0.473967,0.136326,1.42742,1.31013
R,4.91739,0.64177,5.05143,0.0101947,0.131531,0.461166,0.132788,1.38749,1.27472
L,4.91739,0.64177,5.05143,0.0101947, ,0.456168,0.129806,1.35076,1.24256
R,5.42504,0.650263,5.28578,0.05922,0.117990,0.445238,0.127229,1.31683,1.2127
