L, 0.312243, 0.58034, 0, 0,  , 0.287757, 0.0196602, 5.19994, 0
R, 0.779913, 0.722413, 6.65259, 1.97674, 1.077186, 0.211208, 0.0876373, 3.81773, 1.3965
L, 1.19545, 0.535063, 10.3167, -0.0105174,  , 0.177869, 0.0808428, 4.29483, 1.14027
R, 1.03211, 0.563929, 4.61321, 2.6006, 0.302758, 0.232328, 0.0723767, 3.73094, 1.62848
L, 1.35877, 0.703667, 4.975, 2.20633,  , 0.242874, 0.0792752, 3.33855, 1.75481
R, 1.71966, 0.648446, 5.39616, 1.08095, 0.468721, 0.233595, 0.0747625, 3.04874, 1.6587
L, 2.03462, 0.698956, 5.51682, 0.946256,  , 0.221374, 0.0779532, 2.82518, 1.57359
R, 2.27665, 0.698632, 5.29901, 0.729449, 0.312417, 0.21315, 0.0798946, 2.64297, 1.49142
L, 2.56596, 0.724785, 5.35238, 0.647881,  , 0.204481, 0.0846139, 2.49237, 1.4195
R, 2.8481, 0.709108, 5.33672, 0.419564, 0.261116, 0.196108, 0.0858565, 2.3649, 1.35091
L, 3.09645, 0.716524, 5.30674, 0.385493,  , 0.189506, 0.08716, 2.25511, 1.29095
R, 3.39229, 0.644275, 5.33376, 0.00783764, 0.215473, 0.182434, 0.0836817, 2.15951, 1.2364
L, 3.70716, 0.578325, 5.43076, -0.26584,  , 0.175302, 0.0816243, 2.07589, 1.1932
R, 3.98896, 0.594126, 5.47848, -0.161551, 0.141071, 0.168955, 0.0794735, 2.00191, 1.15306
L, 4.27109, 0.583745, 5.49282, -0.172863,  , 0.163473, 0.0784142, 1.93569, 1.11784
R, 4.5282, 0.601625, 5.34028, -0.0921347, 0.125846, 0.158494, 0.0771096, 1.87465, 1.08506
L, 4.71591, 0.675072, 5.19702, 0.191231,  , 0.154044, 0.0748334, 1.81868, 1.05273
R, 4.96798, 0.671294, 5.04539, 0.130769, 0.136735, 0.150082, 0.0727526, 1.7677, 1.02362
